LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C49118395,BH-18650-1,HanElectricity,,Through Hole,"Battery holder -10℃~+100℃ 18650 Through Hole Blade Type Power Connector Assemblies ",YES,10,0.241,2.41,,,
C49023379,TS-6645SS4.5x4.5x6.0,CAX,,"SMD-4P,4.5x4.5mm","12V Without Bracket 4.5mm Round Button No Surface Mount,Vertical SPST 4.5mm 50mA SMD-4P,4.5x4.5mm Tactile Switches ",YES,100,0.0268,2.68,,,
C49023767,MST-12D18G4 SPDT Slide Switch,SHOU HAN,,SMD,"100mA Surface Mount, Right Angle SPDT 12V Black SMD Slide Switches ",YES,10,0.0752,0.75,,,
C92102,AZ1117CH-3.3TRG1,DIODES,,SOT-223,Linear Voltage Regulator IC Positive Fixed 1 Output 1.35A SOT-223,YES,10,0.0742,0.74,,,
C2939347,DIN-504D-M5,HOOYA,,Through Hole,"Through Hole Circular Connector Assemblies ",YES,5,0.3272,1.64,,,
C3013935,ESP32-WROOM-32E-H4,ESPRESSIF,,"SMD,25.5x18mm","2.4GHz ESP32-DOWD-V3 On-board PCB Antenna -98dBm SMD,25.5x18mm RF Transceiver Modules and Modems RoHS",YES,2,3.9407,7.88,,,
