LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C694249,0603B104K250NT,FH (Guangdong Fenghua Advanced Tech),,0603,100nF ±10% 25V Ceramic Capacitor X7R 0603,YES,100,0.0025,0.25,,,
C2840513,0603X106K100CT,Walsin Tech Corp,,0603,10uF ±10% Ceramic Capacitor X5R 0603,YES,100,0.0107,1.07,,,
C2830721,0805B104K500NT,FH-BK(Guangdong Fenghua Bangke Elec),,0805,"100nF X7R ±10% 50V 0805 Ceramic Capacitors ",YES,100,0.0038,0.38,,,
C341092,HYC77-TF09-200,HOAUC,,SMD,Micro SD card (TF card) Connector and Ejector Push-Push Surface Mount,YES,15,0.1283,1.92,,,
C5248080,HS96L03W2C03,HS,,-,"0.96 128x64 SSD1315 chip I2C LCD, OLED, Graphic ",YES,10,1.6196,16.20,,,
C3017715,SCR0603J10K,VO,,0603,"100mW 10kΩ 75V Thick Film Resistor ±200ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ",YES,400,0.0008,0.32,,,
C252670,MA251220JR100FZ,Ever Ohms Tech,,2512,100mΩ ±5% 2W Current Sense Resistor,YES,15,0.1223,1.83,,,
C3016734,SCR0805F10K,VO,,0805,"125mW 10kΩ 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount ",YES,100,0.0016,0.16,,,
C230000,AC1206JR-0791RL,YAGEO,,1206,91Ω 250mW 200V Thick Film Resistor ±100ppm/℃ ±5% 1206 Chip Resistor - Surface Mount RoHS,YES,50,0.0027,0.14,,,
C2843785,XL-5050RGBC-WS2812B,XINGLIGHT,,SMD5050-4P,"SMD5050-4P LED Addressable, Specialty RoHS",YES,20,0.0494,0.99,,,
C87469,INA219AIDCNR,Texas Instruments,,SOT-23-8,300mV~26V 10uV 20uA SOT-23-8 Current Regulation/Management RoHS,YES,10,0.8687,8.69,,,
C92102,AZ1117CH-3.3TRG1,Diodes Incorporated,,SOT-223,Linear Voltage Regulator IC Positive Fixed 1 Output 1.35A SOT-223,YES,20,0.0418,0.84,,,
C3013935,ESP32-WROOM-32E-H4,Espressif Systems,,"SMD,25.5x18mm","2.4GHz ESP32-DOWD-V3 On-board PCB Antenna -98dBm SMD,25.5x18mm RF Transceiver Modules and Modems RoHS",YES,10,3.6607,36.61,,,
C5329561,YTC-TC16-473,YIYUAN,,SMD,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,YES,15,0.1159,1.74,,,
C698207,USB AF-13.7,USAKRO,,Through Hole,"USB-A (USB TYPE-A) Receptacle Connector 4 Position Vertical, Flag",YES,10,0.1046,1.05,,,
C308598,BD450M5FP-CE2,ROHM Semicon,,TO-252,Linear Voltage Regulator IC Positive Fixed 1 Output 500mA TO-252,YES,10,0.5473,5.47,,,
