LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C25159,0402WGJ0301TCE,UNI-ROYAL(Uniroyal Elec),,0402,300Ω ±5% 62.5mW 0402 Thick Film Resistor,YES,100,0.0003,0.03,,,
C14445,CL05A105KP5NNNC,Samsung Electro-Mechanics,,0402,1uF ±10% 10V Ceramic Capacitor X5R 0402,YES,100,0.0015,0.15,,,
C145388,MIC5319-3.3YD5-TR,Microchip Tech,,TSOT-23-5,"3.3V Positive Fixed TSOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",YES,4,1.5546,6.22,,,
C2764054,ESP-01F-2M,Ai-Thinker,,"SMD,11x10mm","2.4GHz ESP8285 Chip -90dBm SMD,11x10mm RF Transceiver Modules and Modems RoHS",YES,10,2.0015,20.02,,,
C41398745,GT-TC194A-H0055-L1,G-Switch,,"SMD,2.5x1.6mm",Tactile Switch SPST 160gf 0.55mm SMD (SMT) Tab 2.5mm x 1.6mm Surface Mount,YES,15,0.0791,1.19,,,
C125969,SX1280IMLTRT,SEMTECH,,QFN-24-EP(4x4),-132dBm 2.4GHz~2.5GHz 2.4GHz 1.8V~3.7V QFN-24-EP(4x4) RF Transceiver ICs RoHS,YES,10,4.6565,46.57,,,
C7503515,CGA0402X5R474K100GT,HRE,,0402,470nF ±10% 10V Ceramic Capacitor X5R 0402,YES,100,0.002,0.20,,,
C169292,VJ0402G104KXQCW1BC,Vishay Intertech,,0402,100nF ±10% 10V Ceramic Capacitor X5R 0402,YES,50,0.0111,0.56,,,
C106235,RC0402FR-071KL,YAGEO,,0402,1kΩ 62.5mW 50V Thick Film Resistor ±100ppm/℃ ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0006,0.06,,,
C74338,16-213/GHC-YR1S1/3T,Everlight Elec,,0402,Emerald Green 518nm LED Indication - Discrete 0402,YES,20,0.0532,1.06,,,
C5137480,FCC0402B103K500AT,FOJAN,,0402,10nF ±10% 50V Ceramic Capacitor X7R 0402,YES,100,0.0007,0.07,,,
C18077708,BX-RF3-1.5Z0.6H,Bossie,,SMD,Connector Receptacle IPEX Male Pin 50Ω Surface Mount,YES,15,0.0731,1.10,,,
C470892,PE4259-63,pSemi,,SC-70-6,10MHz~3GHz SC-70-6 RF Switches RoHS,YES,15,0.4541,6.81,,,
