LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price($),Ext.Price($),Estimated lead time (business days),Updated lead time,Date Code / Lot No.
C15849,CL10A105KB8NNNC,Samsung Electro-Mechanics,,0603,1uF ±10% 50V Ceramic Capacitor X5R 0603,YES,50,0.0037,0.19,,,
C69182,0603X475K100NT,FH (Guangdong Fenghua Advanced Tech),,0603,4.7uF ±10% 10V Ceramic Capacitor X5R 0603,YES,100,0.0053,0.53,,,
C2889399,0603 ±5% 2K,VO,,0603,"100mW 2kΩ 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount ",YES,100,0.0004,0.04,,,
C22548,RC0603FR-071KL,YAGEO,,0603,100mW 1kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,YES,100,0.001,0.10,,,
C14877,ATMEGA328P-AU,Microchip Tech,,TQFP-32(7x7),AVR 8 Bit 20MHz TQFP-32(7x7) Microcontrollers RoHS,YES,5,2.1238,10.62,,,
C32180,CSTCE16M0V53-R0,Murata Electronics,,SMD3213-3P,"16MHz 15pF 40Ω SMD3213-3P Resonators ",YES,5,0.2482,1.24,,,
C265461,UBAS-4R-D14D-4D(LF)(SN),JST,,Through Hole,USB-A (USB TYPE-A) Receptacle Connector 4 Position Through Hole,YES,5,0.8264,4.13,,,
